OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,Order Quantity,Discount Applied,Unit Cost,Unit Price,Procurement_to_Order_Days,Order_to_Ship_Days,Ship_to_Delivery_Days,Total_Lead_Time,Profit_Margin,Total_Revenue,Price_Quantity_Interaction,Cost_Quantity_Interaction,Discount_Price_Interaction,Margin_Quantity_Interaction,LeadTime_Quantity_Interaction,Price_Cost_Ratio,Discount_Margin_Interaction,iso_forest_outlier,Discount Applied_transformed,Total_Revenue_transformed,Price_Quantity_Interaction_transformed,Cost_Quantity_Interaction_transformed,Discount_Price_Interaction_transformed,Margin_Quantity_Interaction_transformed,_SalesTeamID_x__CustomerID,_SalesTeamID_x__StoreID,_SalesTeamID_x__ProductID,_SalesTeamID_x_Order Quantity,_SalesTeamID_x_Discount Applied,_SalesTeamID_x_Unit Cost,_SalesTeamID_x_Unit Price,_SalesTeamID_x_Procurement_to_Order_Days,_SalesTeamID_x_Order_to_Ship_Days,_CustomerID_x__StoreID,_CustomerID_x__ProductID,_CustomerID_x_Order Quantity,_CustomerID_x_Discount Applied,_CustomerID_x_Unit Cost,_CustomerID_x_Unit Price,_CustomerID_x_Procurement_to_Order_Days,_CustomerID_x_Order_to_Ship_Days,_StoreID_x__ProductID,_StoreID_x_Order Quantity,_StoreID_x_Discount Applied,_StoreID_x_Unit Cost,_StoreID_x_Unit Price,_StoreID_x_Procurement_to_Order_Days,_StoreID_x_Order_to_Ship_Days,_ProductID_x_Order Quantity,_ProductID_x_Discount Applied,_ProductID_x_Unit Cost,_ProductID_x_Unit Price,_ProductID_x_Procurement_to_Order_Days,_ProductID_x_Order_to_Ship_Days,Order Quantity_x_Discount Applied,Order Quantity_x_Unit Cost,Order Quantity_x_Unit Price,Order Quantity_x_Procurement_to_Order_Days,Order Quantity_x_Order_to_Ship_Days,Discount Applied_x_Unit Cost,Discount Applied_x_Unit Price,Discount Applied_x_Procurement_to_Order_Days,Discount Applied_x_Order_to_Ship_Days,Unit Cost_x_Procurement_to_Order_Days,Unit Cost_x_Order_to_Ship_Days,Unit Price_x_Procurement_to_Order_Days,Unit Price_x_Order_to_Ship_Days,Procurement_to_Order_Days_x_Order_to_Ship_Days
SO - 000101,In-Store,WARE-UHY1004,2017-12-31,2018-05-31,2018-06-14,2018-06-19,5,0.075,1001.18,1963.1,151,14,5,170,0.8137273017838952,9079.3375,9815.5,5005.9,147.2325,4.068636508919476,850.0,1.9607862721986096,0.06102954763379213,0.0,-0.3550422678826752,0.4240866441224473,0.3734585073380178,0.18410394592525592,-0.09378471947931742,1.1113263168476488,90,1554,72,30,0.44999999999999996,6007.08,11778.599999999999,906,84,3885,180,75,1.125,15017.699999999999,29446.5,2265,210,3108,1295,19.425,259305.62,508442.89999999997,39109,3626,60,0.8999999999999999,12014.16,23557.199999999997,1812,168,0.375,5005.9,9815.5,755,70,75.0885,147.2325,11.325,1.05,151178.18,14016.519999999999,296428.1,27483.399999999998,2114
SO - 000102,Online,WARE-NMK1003,2017-12-31,2018-05-31,2018-06-22,2018-07-02,3,0.075,3348.66,3939.6,151,22,10,183,0.08823529411764713,10932.39,11818.8,10045.98,295.46999999999997,0.2647058823529414,549.0,1.204816706989063,0.0066176470588235345,0.0,-0.3550422678826752,0.6233552509140514,0.5720468567408934,0.9207678278211928,0.629701286747968,-1.2736749262293863,280,2744,378,42,1.05,46881.24,55154.4,2114,308,3920,540,60,1.5,66973.2,78792.0,3020,440,5292,588,14.7,656337.36,772161.6,29596,4312,81,2.025,90413.81999999999,106369.2,4077,594,0.22499999999999998,10045.98,11818.8,453,66,251.1495,295.46999999999997,11.325,1.65,505647.66,73670.51999999999,594879.6,86671.2,3322
SO - 000103,Distributor,WARE-UHY1004,2017-12-31,2018-05-31,2018-06-21,2018-07-01,1,0.05,781.22,1775.5,151,21,10,182,1.159090909090909,1686.725,1775.5,781.22,88.775,1.159090909090909,182.0,2.2727272727269816,0.05795454545454545,0.0,-1.1667839207886594,-1.1308072463607768,-1.1947305248886564,-1.4270394002559592,-0.5818848195776033,-0.2787651887791778,336,4473,336,21,1.05,16405.62,37285.5,3171,441,3408,256,16,0.8,12499.52,28408.0,2416,336,3408,213,10.65,166399.86000000002,378181.5,32163,4473,16,0.8,12499.52,28408.0,2416,336,0.05,781.22,1775.5,151,21,39.06100000000001,88.775,7.550000000000001,1.05,117964.22,16405.62,268100.5,37285.5,3171
SO - 000104,Wholesale,WARE-NMK1003,2017-12-31,2018-05-31,2018-06-02,2018-06-07,8,0.075,1464.69,2324.9,151,3,5,158,0.4682509609541952,17204.260000000002,18599.2,11717.52,174.3675,3.7460076876335617,1255.3999999999996,1.5872983361665889,0.03511882207156464,0.0,-0.3550422678826752,1.1360137597980644,1.0832652533891438,1.0947342824119473,0.07633204830263468,1.0121172704636312,1296,2889,621,216,2.025,39546.630000000005,62772.3,4077,81,5136,1104,384,3.5999999999999996,70305.12,111595.20000000001,7248,144,2461,856,8.025,156721.83000000002,248764.30000000002,16157,321,184,1.7249999999999999,33687.87,53472.700000000004,3473,69,0.6,11717.52,18599.2,1208,24,109.85175,174.3675,11.325,0.22499999999999998,221168.19,4394.07,351059.9,6974.700000000001,453
SO - 000105,Distributor,WARE-NMK1003,2018-04-10,2018-05-31,2018-06-16,2018-06-26,8,0.1,1476.14,1822.4,54,16,10,77,0.1111141219667511,13121.28,14579.2,11809.12,182.24,0.8889129757340088,616.0,1.2345712466296397,0.011111412196675111,0.0,0.2379668888183211,0.825145872185762,0.8039469384649343,1.1036483809474207,0.12132401240724046,-0.517938740131598,1056,2442,572,176,2.2,32475.08,40092.8,1188,352,5328,1248,384,4.800000000000001,70854.72,87475.20000000001,2592,768,2886,888,11.100000000000001,163851.54,202286.40000000002,5994,1776,208,2.6,38379.64,47382.4,1404,416,0.8,11809.12,14579.2,432,128,147.614,182.24,5.4,1.6,79711.56000000001,23618.24,98409.6,29158.4,864
SO - 000106,Online,WARE-PUJ1005,2017-12-31,2018-05-31,2018-06-08,2018-06-13,5,0.05,446.56,1038.5,151,8,5,164,1.1951283014260554,4932.875,5192.5,2232.8,51.925000000000004,6.046387943389465,820.0,2.325555356502525,0.060463879433894654,0.0,-1.1667839207886594,-0.18948662909083505,-0.2628971533855919,-0.5744712342932965,-1.066225443411729,1.5898338208205187,252,3420,36,60,0.6000000000000001,5358.72,12462.0,1812,96,5985,63,105,1.05,9377.76,21808.5,3171,168,855,1425,14.25,127269.6,295972.5,43035,2280,15,0.15000000000000002,1339.68,3115.5,453,24,0.25,2232.8,5192.5,755,40,22.328000000000003,51.925000000000004,7.550000000000001,0.4,67430.56,3572.48,156813.5,8308.0,1208
SO - 000107,In-Store,WARE-XYS1001,2017-12-31,2018-05-31,2018-06-08,2018-06-14,4,0.15,536.67,1192.6,151,8,6,165,0.8888888888888888,4054.8399999999997,4770.4,2146.68,178.89,3.5555555555555554,660.0,2.222222222221808,0.12500000000000003,0.0,0.9975260600959536,-0.3739811839127381,-0.34268706993740844,-0.6090185606935485,0.10239134472186989,0.9496992319037414,140,200,50,40,1.5,5366.7,11926.0,1510,80,280,70,56,2.1,7513.379999999999,16696.399999999998,2114,112,100,80,3.0,10733.4,23852.0,3020,160,20,0.75,2683.35,5963.0,755,40,0.6,2146.68,4770.4,604,32,80.50049999999999,178.89,22.65,1.2,81037.17,4293.36,180082.59999999998,9540.8,1208
SO - 000108,In-Store,WARE-PUJ1005,2018-04-10,2018-05-31,2018-06-26,2018-07-01,5,0.05,1525.19,1815.7,54,26,5,82,0.13095089792091472,8624.574999999999,9078.5,7625.950000000001,90.78500000000001,0.6547544896045736,410.0,1.204816706989063,0.0065475448960457365,0.0,-1.1667839207886594,0.37001478709444635,0.2918028372567198,0.6195845902361232,-0.5609305679116954,-0.7608532459124564,54,1680,270,30,0.30000000000000004,9151.14,10894.2,324,156,2520,405,45,0.45,13726.710000000001,16341.300000000001,486,234,12600,1400,14.0,427053.2,508396.0,15120,7280,225,2.25,68633.55,81706.5,2430,1170,0.25,7625.950000000001,9078.5,270,130,76.2595,90.78500000000001,2.7,1.3,82360.26000000001,39654.94,98047.8,47208.200000000004,1404
SO - 000109,In-Store,WARE-PUJ1005,2017-12-31,2018-06-01,2018-06-16,2018-06-21,4,0.3,2211.2,3879.3,152,15,5,172,0.22807073082489146,10862.039999999999,15517.2,8844.8,840.18,0.9122829232995658,688.0,1.7543867583211943,0.06842121924746744,0.0,1.799423038740718,0.6163268814650286,0.8743983568193384,0.7799864708811873,1.834652744286364,-0.4956822602252525,36,1196,180,16,1.2,8844.8,15517.2,608,60,2691,405,36,2.6999999999999997,19900.8,34913.700000000004,1368,135,13455,1196,89.7,661148.7999999999,1159910.7,45448,4485,180,13.5,99503.99999999999,174568.5,6840,675,1.2,8844.8,15517.2,608,60,663.3599999999999,1163.79,45.6,4.5,336102.39999999997,33168.0,589653.6,58189.5,2280
SO - 000110,In-Store,WARE-UHY1004,2017-12-31,2018-06-01,2018-06-29,2018-07-01,8,0.05,1212.97,1956.4,152,27,2,182,0.5322555380594738,14868.64,15651.2,9703.76,97.82000000000001,4.25804430447579,1255.3999999999996,1.6129005663782605,0.02661277690297369,0.0,-1.1667839207886594,0.9668895403518529,0.8841706885773862,0.8821710790470654,-0.4906492547415547,1.1661253715380686,330,2610,130,80,0.5,12129.7,19564.0,1520,270,8613,429,264,1.6500000000000001,40028.01,64561.200000000004,5016,891,3393,2088,13.05,316585.17,510620.4,39672,7047,104,0.65,15768.61,25433.2,1976,351,0.4,9703.76,15651.2,1216,216,60.648500000000006,97.82000000000001,7.6000000000000005,1.35,184371.44,32750.190000000002,297372.8,52822.8,4104
